News_ID,Website,Category,Headline,URL,Top_Image,Date,author
7170,times of india,['entertainment'],Sushant Singh Rajput's sister Shweta Singh Kirti starts #MannKiBaat4SSR campaign,https://timesofindia.indiatimes.com/entertainment/hindi/sushant-singh-rajputs-sister-shweta-singh-kirti-starts-mannkibaat4ssr-campaign/videoshow/78635276.cms,https://timesofindia.indiatimes.com/photo/78635276/size-128655/78635276.jpg,,[]
7171,times of india,['entertainment'],"Amrita Rao opens up about her pregnancy, says feeling of becoming a mother soon is yet to sink in",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/amrita-rao-opens-up-about-her-pregnancy-says-feeling-of-becoming-a-mother-soon-is-yet-to-sink-in/articleshow/78653206.cms,"https://static.toiimg.com/thumb/msid-78653245,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-629341/78653245.jpg",,[]
7172,times of india,['entertainment'],"Saqib Saleem opens up about the nepotism debate in Bollywood, says you can only take responsibility for yourself and not for the entire film industry",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/saqib-saleem-opens-up-about-the-nepotism-debate-in-bollywood-says-you-can-only-take-responsibility-for-yourself-and-not-for-the-entire-film-industry/articleshow/78634430.cms,"https://static.toiimg.com/thumb/msid-78634430,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-159522/78634430.jpg",,[]
7173,times of india,['entertainment'],Sushant Singh Rajput to Shah Rukh Khan: 7 times actors used special effects to look younger on-screen,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajput-to-shah-rukh-khan-7-times-actors-used-cgi-to-look-younger-on-screen/photostory/78651830.cms,https://static.toiimg.com/photo/78651830.cms,2020-10-14 08:01:00+05:30,[]
7174,times of india,['entertainment'],Amrita Rao is pregnant! Actress gets papped sporting a baby bump with husband RJ Anmol,https://timesofindia.indiatimes.com/entertainment/hindi/amrita-rao-is-pregnant-actress-gets-papped-sporting-a-baby-bump-outside-with-husband-rj-anmol/videoshow/78634538.cms,https://timesofindia.indiatimes.com/photo/78634538/size-547336/78634538.jpg,,[]
7175,times of india,['entertainment'],Prabhas unveils Pooja Hegde's look from 'Radhe Shyam' on her birthday; fans pour warm wishes,https://timesofindia.indiatimes.com/entertainment/hindi/prabhas-unveils-pooja-hegdes-look-from-radhe-shyam-on-her-birthday-fans-pour-warm-wishes/videoshow/78636112.cms,https://timesofindia.indiatimes.com/photo/78636112/size-138862/78636112.jpg,,[]
7176,times of india,['entertainment'],Sushant Singh Rajput to Shah Rukh Khan: 7 times actors used special effects to look younger on-screen,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajput-to-shah-rukh-khan-7-times-actors-used-cgi-to-look-younger-on-screen/photostory/78651583.cms,https://static.toiimg.com/photo/78651830.cms,2020-10-14 08:01:00+05:30,[]
7177,times of india,['entertainment'],"Kangana Ranaut to go back to her fitness routine after gaining 20 kg for ‘Thalaivi’, starts morning walk",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kangana-ranaut-to-go-back-to-her-fitness-routine-after-gaining-20-kg-for-thalaivi-starts-morning-walk/articleshow/78652534.cms,"https://static.toiimg.com/thumb/msid-78652564,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-655508/78652564.jpg",,[]
7178,times of india,['entertainment'],Anushka Sharma-Virat Kohli to Tiger Shroff-Disha Patani: Monochrome photos of celebrity couples you can't miss!,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/anushka-sharma-virat-kohli-to-tiger-shroff-disha-patani-monochrome-photos-of-celebrity-couples-you-cant-miss/photostory/78639781.cms,https://static.toiimg.com/photo/78639916.cms,2020-10-14 09:00:00+05:30,[]
7179,times of india,['entertainment'],"Taimur Ali Khan emulates grandfather Mansoor Ali Khan Pataudi, mommy Kareena Kapoor asks, 'Any place in the IPL?'",https://timesofindia.indiatimes.com/entertainment/hindi/taimur-ali-khan-emulates-grandfather-mansoor-ali-pataudi-mommy-kareena-kapoor-asks-any-place-in-the-ipl/videoshow/78653369.cms,https://timesofindia.indiatimes.com/photo/78653369/size-847592/78653369.jpg,,[]
7180,times of india,['entertainment'],"Sushant Singh Rajput case: After AIIMS reports ruled out murder theories, MP Subramanian Swamy questions why the glass from which the actor drank juice was not preserved",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajput-case-after-aiims-reports-ruled-out-murder-theories-mp-subramanian-swamy-questions-why-the-glass-from-which-the-actor-drank-juice-was-not-preserved/articleshow/78636736.cms,"https://static.toiimg.com/thumb/msid-78636734,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-725061/78636734.jpg",,[]
7181,times of india,['entertainment'],Fans give Ranbir Kapoor and Alia Bhatt a transformation using baby filter and it is all things cute,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/fans-give-ranbir-kapoor-and-alia-bhatt-a-transformation-using-baby-filter-and-it-is-all-things-cute/articleshow/78640132.cms,"https://static.toiimg.com/thumb/msid-78640147,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-231381/78640147.jpg",,[]
7182,times of india,['entertainment'],"Watch: Ayushmann Khurrana remembers Kishore Kumar on his death anniversary, shares a throwback video singing ‘O Majhi Re’",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/watch-ayushmann-khurrana-remembers-kishore-kumar-on-his-death-anniversary-shares-a-throwback-video-singing-o-majhi-re/articleshow/78635452.cms,"https://static.toiimg.com/thumb/msid-78635467,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-863765/78635467.jpg",,[]
7183,times of india,['entertainment'],Mouni Roy talks about her travel experience to different countries and getting several swab tests done amidst coronavirus pandemic,https://timesofindia.indiatimes.com/entertainment/hindi/mouni-roy-talks-about-her-travel-experience-to-different-countries-and-getting-several-swab-tests-done-amidst-coronavirus-pandemic/videoshow/78637386.cms,https://timesofindia.indiatimes.com/photo/78637386/size-573381/78637386.jpg,,[]
7184,times of india,['entertainment'],Happy birthday Pooja Hegde: FIVE times the gorgeous diva set the internet ablaze with her versatile outfits,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/happy-birthday-pooja-hegde-five-times-the-gorgeous-diva-set-the-internet-ablaze-with-her-versatile-outfits/photostory/78634043.cms,https://static.toiimg.com/photo/78634065.cms,2020-10-13 11:36:55+05:30,[]
7185,times of india,['entertainment'],‘Radhe: Your Most Wanted Bhai’: Salman Khan ropes in South Korean action star Kwon Tae-ho to choreograph fight sequences,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/radhe-your-most-wanted-bhai-salman-khan-ropes-in-south-korean-action-star-kwon-tae-ho-to-choreograph-fight-sequences/articleshow/78633172.cms,"https://static.toiimg.com/thumb/msid-78633172,width-1070,height-580,overlay-toi_sw,pt-32,y_pad-40,resizemode-75,imgsize-513886/78633172.jpg",,[]
7186,times of india,['entertainment'],Ayushmann Khurrana and Tahira Kashyap used to ‘make-out’ while watching Shah Rukh Khan’s films in theatres,https://timesofindia.indiatimes.com/entertainment/hindi/ayushmann-khurrana-and-tahira-kashyap-used-to-make-out-while-watching-shah-rukh-khans-films-in-theatres/videoshow/78633511.cms,https://timesofindia.indiatimes.com/photo/78633511/size-863223/78633511.jpg,,[]
